hsGPA,collegeGPA,Gender,CatOrDogPerson,Alcohol,FavoriteCourse,Sleep,YannyOrLaurel,Fight
4,3.92,Male,Dog,0.45,,4.5,Yanny,I would prefer to fight one horse-sized duck.
3.25,3.15,Male,Dog,0,CSC-314,8,Laurel,I would prefer to fight one hundred duck-size horses.
3.9,3.6,Female,Dog,1,CSC-315,8,Yanny,I would prefer to fight one horse-sized duck.
1.8,3.62,Male,Cat,7,CSC-314,5.8,Laurel,I would prefer to fight one hundred duck-size horses.
3.8,3.7,Female,Cat,5,CSC-340,6,Laurel,I would prefer to fight one hundred duck-size horses.
3.67,3.58,Female,Dog,0,CSC-231,6,Laurel,I would prefer to fight one horse-sized duck.
3.9,3.7,Female,Dog,0,CSC-210,8,Laurel,I would prefer to fight one hundred duck-size horses.
3.8,3.2,Female,Dog,1,CSC-314,7,Laurel,I would prefer to fight one hundred duck-size horses.
3.4,3.6,Male,Cat,0,CSC-215,6,Laurel,I would prefer to fight one hundred duck-size horses.
3.2,3.7,Female,Cat,1,CSC-314,6,Yanny,I would prefer to fight one horse-sized duck.
3.9,3.57,Female,Dog,0,CSC-315,6,Laurel,I would prefer to fight one hundred duck-size horses.
2.5,2.81,Male,Dog,0,CSC-315,7,Yanny,I would prefer to fight one horse-sized duck.
3.5,2.8,Female,Dog,3,CSC-340,4,Yanny,I would prefer to fight one horse-sized duck.
3.86,4,Male,Dog,0,CSC-230,4,Laurel,I would prefer to fight one horse-sized duck.
3.7,3.87,Male,Cat,0,CSC-315,6,Yanny,I would prefer to fight one horse-sized duck.
3.6,3.1,Female,Dog,0,CSC-231,9,Yanny,I would prefer to fight one hundred duck-size horses.
3.2,3.2,Other or prefer not to say,Cat,0,,8,Laurel,I would prefer to fight one hundred duck-size horses.
